,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,2025-07-10 00:00:00,111234.0,111303.7,111233.99,111282.61,12.79716,2025-07-10 00:00:59.999,1424040.1325972,2095,8.72843,971201.1175533,0
1,2025-07-10 00:01:00,111282.6,111282.61,111203.91,111262.35,12.92889,2025-07-10 00:01:59.999,1438379.176708,2839,4.25394,473243.5200714,0
2,2025-07-10 00:02:00,111262.35,111274.99,111262.34,111263.95,2.72884,2025-07-10 00:02:59.999,303627.7936688,701,1.40926,156800.1320204,0
3,2025-07-10 00:03:00,111263.96,111287.77,111263.95,111270.02,10.7048,2025-07-10 00:03:59.999,1191160.4562063,1158,3.54615,394583.3235525,0
4,2025-07-10 00:04:00,111270.02,111298.74,111257.8,111277.48,6.02896,2025-07-10 00:04:59.999,670869.1328161,1516,1.91308,212863.9650757,0
5,2025-07-10 00:05:00,111277.48,111302.14,111277.47,111299.76,4.59159,2025-07-10 00:05:59.999,511007.8919401,1189,2.71582,302250.6372684,0
6,2025-07-10 00:06:00,111299.75,111299.76,111268.7,111268.7,6.9445,2025-07-10 00:06:59.999,772824.6501961,933,1.32728,147706.9602015,0
7,2025-07-10 00:07:00,111268.71,111270.0,111262.41,111263.64,1.83851,2025-07-10 00:07:59.999,204560.4856527,825,0.5294,58903.0330021,0
8,2025-07-10 00:08:00,111263.63,111270.0,111263.63,111270.0,2.08928,2025-07-10 00:08:59.999,232461.9664221,418,1.22014,135757.6612063,0
9,2025-07-10 00:09:00,111269.99,111278.08,111264.0,111264.0,5.52438,2025-07-10 00:09:59.999,614718.0616595,768,3.98225,443115.0617609,0
10,2025-07-10 00:10:00,111264.0,111264.0,111236.14,111256.34,5.78313,2025-07-10 00:10:59.999,643333.7649398,1223,3.40075,378308.3379123,0
11,2025-07-10 00:11:00,111256.35,111280.83,111255.0,111255.0,9.48375,2025-07-10 00:11:59.999,1055235.5411157,1452,2.01954,224698.2111061,0
12,2025-07-10 00:12:00,111255.0,111260.0,111245.75,111255.31,3.66792,2025-07-10 00:12:59.999,408066.1517413,936,0.68307,75992.1502126,0
13,2025-07-10 00:13:00,111255.3,111319.24,111255.3,111319.24,6.05555,2025-07-10 00:13:59.999,673920.4548137,1078,4.34239,483263.4071784,0
14,2025-07-10 00:14:00,111319.24,111319.24,111275.04,111275.05,7.89812,2025-07-10 00:14:59.999,879065.4418025,1905,1.33602,148702.6908001,0
15,2025-07-10 00:15:00,111275.04,111275.04,111250.0,111250.0,4.85712,2025-07-10 00:15:59.999,540358.359555,1045,1.23939,137882.1777973,0
16,2025-07-10 00:16:00,111250.01,111282.0,111224.54,111275.15,8.85754,2025-07-10 00:16:59.999,985401.6363396,2117,4.84947,539505.1703842,0
17,2025-07-10 00:17:00,111275.15,111276.92,111248.89,111276.92,3.27959,2025-07-10 00:17:59.999,364888.7068724,1338,1.16624,129762.9037437,0
18,2025-07-10 00:18:00,111276.93,111300.09,111260.02,111260.02,7.98249,2025-07-10 00:18:59.999,888370.8793663,1490,4.80733,535007.8995639,0
19,2025-07-10 00:19:00,111260.03,111296.93,111260.02,111264.97,16.60627,2025-07-10 00:19:59.999,1847796.3203245,1677,12.40215,1379924.5896422,0
20,2025-07-10 00:20:00,111264.97,111265.1,111230.0,111230.01,10.59367,2025-07-10 00:20:59.999,1178641.7968663,1466,1.67461,186320.4369509,0
21,2025-07-10 00:21:00,111230.0,111230.01,111167.2,111167.21,12.26366,2025-07-10 00:21:59.999,1363939.2281905,2203,7.77691,864977.1933899,0
22,2025-07-10 00:22:00,111167.2,111227.65,111167.2,111227.64,4.81917,2025-07-10 00:22:59.999,535821.2843643,1011,1.54815,172142.5691551,0
23,2025-07-10 00:23:00,111227.65,111247.47,111200.0,111200.0,5.70365,2025-07-10 00:23:59.999,634384.6570801,1694,2.28824,254511.0047556,0
24,2025-07-10 00:24:00,111200.0,111217.44,111180.6,111217.43,6.35484,2025-07-10 00:24:59.999,706580.8261816,1588,3.59956,400229.9998011,0
